iter	Passed	Remaining
662	1189	604
663	1190	602
664	1192	600
665	1193	598
666	1194	596
667	1194	593
668	1195	591
669	1196	589
670	1197	587
671	1198	584
672	1199	582
673	1200	580
674	1201	578
675	1202	576
676	1203	574
677	1204	571
678	1204	569
679	1208	568
680	1209	566
681	1210	564
682	1211	562
683	1212	559
684	1212	557
685	1213	555
686	1214	553
687	1215	551
688	1216	548
689	1217	546
690	1217	544
691	1218	542
692	1219	540
693	1222	538
694	1223	536
695	1224	534
696	1224	532
697	1225	530
698	1225	527
699	1226	525
700	1227	523
701	1227	521
702	1228	519
703	1230	517
704	1231	515
705	1232	513
706	1233	511
707	1234	509
708	1234	506
709	1237	505
710	1238	503
711	1239	501
712	1239	498
713	1240	496
714	1240	494
715	1242	492
716	1243	490
717	1243	488
718	1244	486
719	1245	484
720	1246	482
721	1246	480
722	1247	477
723	1248	475
724	1248	473
725	1249	471
726	1252	470
727	1253	468
728	1254	466
729	1255	464
730	1255	462
731	1256	460
732	1257	457
733	1257	455
734	1258	453
735	1259	451
736	1260	449
737	1261	447
738	1262	445
739	1263	443
740	1264	441
741	1264	439
742	1267	438
743	1268	436
744	1268	434
745	1269	432
746	1270	430
747	1270	428
748	1271	426
749	1271	423
750	1273	422
751	1274	420
752	1275	418
753	1276	416
754	1277	414
755	1278	412
756	1278	410
757	1279	408
758	1282	407
759	1283	405
760	1283	403
761	1284	401
762	1285	399
763	1286	397
764	1287	395
765	1288	393
766	1289	391
767	1289	389
768	1290	387
769	1291	385
770	1291	383
771	1292	381
772	1293	379
773	1293	377
774	1294	375
775	1297	374
776	1298	372
777	1299	370
778	1300	368
779	1300	366
780	1301	364
781	1302	362
782	1302	361
783	1303	359
784	1303	357
785	1305	355
786	1306	353
787	1306	351
788	1307	349
789	1308	347
790	1309	345
791	1312	344
792	1314	343
793	1315	341
794	1315	339
795	1316	337
796	1317	335
797	1318	333
798	1319	331
799	1320	330
800	1321	328
801	1322	326
802	1323	324
803	1323	322
804	1324	320
805	1325	319
806	1327	317
807	1327	315
808	1328	313
809	1328	311
810	1329	309
811	1330	307
812	1331	306
813	1332	304
814	1332	302
815	1333	300
816	1334	298
817	1335	297
818	1335	295
819	1336	293
820	1337	291
821	1337	289
822	1338	287
823	1341	286
824	1342	284
825	1343	283
826	1344	281
827	1344	279
828	1345	277
829	1346	275
830	1346	273
831	1347	272
832	1347	270
833	1349	268
834	1350	266
835	1350	265
836	1351	263
837	1352	261
838	1353	259
839	1356	258
840	1357	256
841	1358	254
842	1358	253
843	1359	251
844	1360	249
845	1360	247
846	1361	245
847	1363	244
848	1363	242
849	1364	240
850	1365	239
851	1366	237
852	1367	235
853	1367	233
854	1368	232
855	1371	230
856	1372	229
857	1373	227
858	1373	225
859	1374	223
860	1374	221
861	1378	220
862	1379	218
863	1380	217
864	1381	215
865	1381	213
866	1382	212
867	1383	210
868	1383	208
869	1387	207
870	1388	205
871	1388	203
872	1389	202
873	1390	200
874	1390	198
875	1391	196
876	1391	195
877	1392	193
878	1393	191
879	1394	190
880	1395	188
881	1396	186
882	1397	185
883	1398	183
884	1399	181
885	1401	180
886	1402	178
887	1403	177
888	1404	175
889	1404	173
890	1405	171
891	1406	170
892	1407	168
893	1408	167
894	1409	165
895	1410	163
896	1411	162
897	1412	160
898	1412	158
899	1413	157
900	1414	155
901	1417	153
902	1417	152
903	1418	150
904	1418	148
905	1419	147
906	1420	145
907	1421	144
908	1422	142
909	1423	140
910	1424	139
911	1424	137
912	1425	135
913	1426	134
914	1427	132
915	1427	130
916	1428	129
917	1429	127
918	1431	126
919	1432	124
920	1432	122
921	1433	121
922	1434	119
923	1434	118
924	1435	116
925	1435	114
926	1436	113
927	1438	111
928	1438	109
929	1439	108
930	1440	106
931	1441	105
932	1442	103
933	1444	102
934	1445	100
935	1446	98
936	1447	97
937	1448	95
938	1448	94
939	1449	92
940	1449	90
941	1451	89
942	1451	87
943	1452	86
944	1453	84
945	1453	82
946	1454	81
947	1455	79
948	1455	78
949	1456	76
950	1457	75
951	1459	73
952	1460	72
953	1461	70
954	1461	68
955	1462	67
956	1463	65
957	1463	64
958	1464	62
959	1465	61
960	1465	59
961	1466	57
962	1467	56
963	1468	54
964	1468	53
965	1469	51
966	1470	50
967	1470	48
968	1471	47
969	1471	45
970	1474	44
971	1476	42
972	1476	40
973	1477	39
974	1477	37
975	1478	36
976	1479	34
977	1479	33
978	1480	31
979	1480	30
980	1481	28
981	1482	27
982	1483	25
983	1484	24
984	1485	22
985	1486	21
986	1487	19
987	1489	18
988	1490	16
989	1491	15
990	1491	13
991	1492	12
992	1493	10
993	1493	9
994	1494	7
995	1494	6
996	1496	4
997	1497	3
998	1497	1
999	1498	0
